,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
68,68,<_io.TextIOWrapper name='corpus/bush/bush_speeches_018.txt' mode='rt' encoding='cp1252'>,5088,325,16.646153846153847,1.4636399371069182,66.11521516690858,8.172951257861637,23,13,10,0,2,2,10.0,bush,10.0,1992
69,69,<_io.TextIOWrapper name='corpus/bush/bush_speeches_019.txt' mode='rt' encoding='cp1252'>,16482,1367,12.97366495976591,1.449156655745662,71.06807698975463,6.569777872107519,91,18,73,3,21,2,10.0,bush,10.0,1992
70,70,<_io.TextIOWrapper name='corpus/bush/bush_speeches_020.txt' mode='rt' encoding='cp1252'>,1136,78,15.32051282051282,1.5941901408450705,56.416193571686534,9.196443661971834,5,2,3,0,0,1,10.0,bush,10.0,1992
71,71,<_io.TextIOWrapper name='corpus/bush/bush_speeches_021.txt' mode='rt' encoding='cp1252'>,3788,196,20.045918367346943,1.6153643083421332,49.82857237139842,11.289207001702476,15,1,14,0,7,1,10.0,bush,10.0,1992
72,72,<_io.TextIOWrapper name='corpus/bush/bush_speeches_022.txt' mode='rt' encoding='cp1252'>,3316,208,16.72596153846154,1.583232810615199,55.91665326041571,9.615272165259348,23,5,18,1,1,0,10.0,bush,10.0,1993
73,73,<_io.TextIOWrapper name='corpus/carter/carter_speeches_000.txt' mode='rt' encoding='cp1252'>,2175,102,22.294117647058826,1.5678160919540232,51.56922920892498,11.604935767410414,3,0,3,1,1,1,9.0,carter,10.0,1981
74,74,<_io.TextIOWrapper name='corpus/carter/carter_speeches_001.txt' mode='rt' encoding='cp1252'>,13467,822,17.273722627737225,1.542362812801663,58.81827756982602,9.346633015877147,76,3,73,5,13,0,9.0,carter,9.0,1976
75,75,<_io.TextIOWrapper name='corpus/carter/carter_speeches_002.txt' mode='rt' encoding='cp1252'>,12820,786,17.197201017811707,1.5756630265210612,56.0787489232394,9.709732109895082,64,1,63,2,17,1,9.0,carter,9.0,1976
76,76,<_io.TextIOWrapper name='corpus/carter/carter_speeches_003.txt' mode='rt' encoding='cp1252'>,12921,776,17.528350515463917,1.5497252534633543,57.93696778380436,9.532814691898508,61,2,59,0,26,1,9.0,carter,9.0,1976
77,77,<_io.TextIOWrapper name='corpus/carter/carter_speeches_004.txt' mode='rt' encoding='cp1252'>,1212,53,23.811320754716984,1.5577557755775575,50.880370820100914,12.077933246154805,1,0,1,2,2,0,9.0,carter,9.0,1977
