,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period
264,<_io.TextIOWrapper name='corpus/grant/grant_speeches_010.txt' mode='rt' encoding='cp1252'>,5692,162,35.48148148148148,1.71890372452565,25.40204120142633,18.530841727180448,23,14,9,1,23,1,8.0,grant,4.0
265,<_io.TextIOWrapper name='corpus/grant/grant_speeches_011.txt' mode='rt' encoding='cp1252'>,565,14,40.5,1.761061946902655,16.741659292035422,20.98553097345133,0,0,0,1,0,0,8.0,grant,4.0
266,<_io.TextIOWrapper name='corpus/grant/grant_speeches_012.txt' mode='rt' encoding='cp1252'>,263,8,33.125,1.570342205323194,40.36217442965781,15.858788022813687,4,0,4,0,0,0,8.0,grant,4.0
267,<_io.TextIOWrapper name='corpus/grant/grant_speeches_013.txt' mode='rt' encoding='cp1252'>,513,18,28.72222222222222,1.7056530214424952,33.38369883040937,15.738372319688114,0,0,0,1,1,0,8.0,grant,4.0
268,<_io.TextIOWrapper name='corpus/grant/grant_speeches_014.txt' mode='rt' encoding='cp1252'>,8739,297,30.414141414141415,1.652820688866003,36.13601618658262,15.77479928013399,39,21,18,3,12,1,8.0,grant,4.0
269,<_io.TextIOWrapper name='corpus/grant/grant_speeches_015.txt' mode='rt' encoding='cp1252'>,828,15,55.13333333333333,1.7451690821256038,3.2333623188406193,26.504995169082125,6,0,6,0,0,0,8.0,grant,4.0
270,<_io.TextIOWrapper name='corpus/grant/grant_speeches_016.txt' mode='rt' encoding='cp1252'>,6461,215,30.688372093023254,1.6872001238198422,32.94917185042277,16.28742657735321,24,1,23,5,4,3,8.0,grant,4.0
271,<_io.TextIOWrapper name='corpus/grant/grant_speeches_017.txt' mode='rt' encoding='cp1252'>,1440,43,33.93023255813954,1.761111111111111,23.405813953488405,18.423901808785534,4,0,4,0,0,0,8.0,grant,4.0
272,<_io.TextIOWrapper name='corpus/grant/grant_speeches_018.txt' mode='rt' encoding='cp1252'>,10005,366,28.327868852459016,1.680759620189905,35.88994924668813,15.2908323706999,30,11,19,2,11,1,8.0,grant,4.0
273,<_io.TextIOWrapper name='corpus/grant/grant_speeches_019.txt' mode='rt' encoding='cp1252'>,1341,43,31.74418604651163,1.5980611483967189,39.418678008428316,15.64735410922082,11,0,11,1,2,0,8.0,grant,4.0
